丸,78764
婦,78511
傷,77988
装,77943
位,77916
令,77852
折,77600
仲,77443
共,77376
越,77139
南,76668
庭,76652
波,76607
舞,76591
星,76353
角,76123
並,76017
周,75899
類,75857
産,75804
等,75717
微,75537
護,75350
途,75123
吹,75007
再,74715
巻,74593
景,74333
刻,74303
泣,74266
喜,74237
乱,74174
例,74087
密,73778
霊,73742
鉄,73715
優,73676
与,73483
銀,73322
殿,73162
制,72879
図,71954
案,71888
危,71871
夕,71827
秋,71827
坂,71744
局,71730
刑,71585
奇,71580
興,71453
春,71360
底,71215
怖,71143
選,71022
接,70836
閉,70794
街,70749
映,70569
尾,70540
写,70453
求,70233
商,70206
怪,70136
退,69980
争,69925
河,69718
医,69640
辺,69496
査,69463
激,69216
完,69194
雨,68857
弾,68450
派,68218
司,68018
遊,68011
橋,67993
非,67873
毛,67692
館,67568
床,67406
験,67169
罪,67166
休,67051
故,67005
従,66959
宿,66854
処,66848
射,66776
速,66736
玉,66677
雪,66621
散,66583
困,66412
崎,66137
掛,66014
絵,66009
恋,65892
吸,65774
権,65532
清,65465
程,65409
昨,65320
独,65308
弟,65281
夏,65133
秘,65033
里,65013
羽,64956
布,64592
丈,64474
束,64471
岡,64111
象,64082
欲,63971
帯,63890
雑,63749
森,63671
移,63131
職,63067
姫,63059
暮,62895
焼,62806
条,62792
岩,62621
園,62615
惑,62556
末,62527
触,62418
割,62367
害,62208
駆,62117
薄,62062
険,61678
姉,61402
犬,61348
午,60947
比,60774
働,60359
鹿,60317
堂,59987
払,59984
紀,59812
攻,59573
登,59225
球,59183
刀,59182
昔,58441
握,58310
曲,58163
踏,58097
鼻,57957
響,57828
照,57743
低,57329
史,57286
秀,57228
英,57118
洋,57067
衣,56898
骨,56868
薬,56786
逆,56473
聖,56115
煙,55971
福,55935
宗,55934
房,55671
領,55503
玄,55454
留,55404
毎,55314
捨,55250
弁,54929
章,54880
極,54826
未,54762
鳥,54681
弱,54536
育,54387
艦,54338
刺,54293
型,54249
短,54147
憶,54130
跡,54080
伸,54079
林,54074
沈,54064
永,53930
銃,53919
眺,53877
倉,53814
訪,53650
闇,53624
個,53596
包,53549
晩,53423
闘,53360
徒,52910
演,52884
板,52854
雲,52638
縁,52504
荒,52448
奈,52177
巨,52147
那,52112
快,52005
織,51988
米,51961
固,51756
訳,51700
忠,51696
修,51651
徳,51648
竜,51596
普,51251
狂,51246
筋,51208
皇,51199
襲,51193
迷,51175
脱,50871
労,50856
捕,50838
陸,50760
総,50588
収,50503
吐,50385
亡,50325
枚,50247
昼,50227
騒,50137
捜,50130
列,49984
印,49953
雄,49846
柄,49815
迎,49531
隣,49418
試,49390
輝,49388
宇,49346
済,49219
量,49126
技,48871
甲,48763
為,48700
習,48695
府,48535
暴,48388
儀,48361
源,48331
震,48057
妹,47957
皮,47774
検,47761
州,47736
涙,47713
恵,47700
科,47616
鬼,47591
揺,47576
椅,47437
輩,47318
宅,47311
遅,47182
穴,47168
枝,46931
設,46839
輪,46821
遺,46756
救,46748
岸,46673
週,46542
滅,46388
混,45903
資,45544
鏡,45358
駅,45317
黄,45299
帝,45261
詰,45236
積,45221
博,45000
伯,44964
芸,44961
皆,44948
描,44943
杯,44756
爵,44712
納,44650
唇,44620
駄,44586
廊,44375
境,44367
節,44296
臣,44292
宙,44257
麻,44191
砂,44143
防,44107
毒,43999
復,43957
邪,43920
矢,43832
尋,43716
箱,43695
晴,43627
祖,43466
伏,43379
宝,43379
竹,43341
盛,43103
増,42938
敗,42882
簡,42852
洗,42811
如,42495
仰,42480
児,42418
弥,42388
染,42299
研,42244
