相手,128372
仕事,117655
子供,116318
電話,114469
世界,108869
意味,103074
事件,100247
問題,91782
問題,91782
一緒,74050
存在,68576
存在,68576
生活,68360
学校,65920
心配,62245
東京,60679
理由,60411
理由,60411
結婚,59901
説明,58856
主人,57468
警察,57262
警察,57262
可能,56924
可能,56924
事実,56915
意識,53924
犯人,52221
会社,50452
写真,49301
当然,48116
状態,47411
状態,47411
椅子,45845
一瞬,44789
瞬間,44242
完全,41497
想像,41493
想像,41493
自由,41237
絶対,41177
実際,41102
突然,41093
突然,41093
大丈夫,41056
理解,40448
小説,39211
背中,39066
屋敷,38895
階段,38717
危険,38611
廊下,38411
精神,38346
発見,38290
社会,37986
約束,37918
文字,35700
普通,35490
研究,35086
方法,34922
昨日,34643
途中,34581
先輩,34441
現在,34378
簡単,34216
簡単,34216
病院,33852
病院,33852
江戸,33506
結局,33462
態度,33339
報告,32210
玄関,32194
感情,32173
反対,32109
料理,31737
興味,30993
状況,30728
状況,30728
宇宙,30534
宇宙,30534
映画,30400
家族,30361
命令,30215
計画,29658
生徒,29267
元気,29190
秘密,28843
秘密,28843
気配,27303
旦那,27181
旦那,27181
運転,27002
距離,26573
将軍,26539
歴史,26142
歴史,26142
証拠,26055
証拠,26055
医者,25935
位置,25897
地面,25773
判断,25699
中央,25610
相談,25509
相談,25509
案内,25349
能力,25260
奇妙,25033
奇妙,25033
博士,24112
期待,23697
病気,23012
挨拶,22985
挨拶,22985
冗談,22833
曜日,22827
太陽,22685
苦労,22652
騎士,22497
騎士,22497
政治,22440
緊張,22213
作業,21731
特別,21710
反応,21693
成功,21684
意外,21640
天井,21624
準備,21512
行為,21423
失礼,21421
内容,21348
性格,21313
性格,21313
政府,20885
紹介,20711
紹介,20711
一般,20589
充分,20311
京都,20212
原因,19915
原因,19915
文化,19885
納得,19850
技術,19741
被害,19615
出発,19435
風呂,19320
幸福,19163
文句,19147
条件,19050
条件,19050
会議,18954
勉強,18713
予想,18686
駄目,18541
残念,18526
機械,18507
機械,18507
予定,18495
両親,18445
心臓,18393
商売,18347
雑誌,18156
失敗,17982
失敗,17982
教師,17921
希望,17836
邪魔,17670
興奮,17564
興奮,17564
世紀,17512
伯爵,17427
伯爵,17427
偶然,17423
武器,17231
武器,17231
犯罪,17191
知識,17167
道具,16938
意志,16899
帽子,16850
道路,16765
貴族,16735
貴族,16735
雰囲気,16339
荷物,16284
夕方,16271
指揮,16263
電車,16153
年齢,16153
真実,16125
真実,16125
記録,16105
爆発,15818
無駄,15756
遠慮,15581
到着,15545
抵抗,15455
抵抗,15455
協力,15414
価値,15252
価値,15252
公園,15151
解決,15048
野郎,14800
話題,14702
裁判,14660
患者,14622
未来,14522
大阪,14484
我慢,14254
我慢,14254
帝国,14250
格好,14238
唯一,14147
商人,14140
具合,13999
風景,13795
田舎,13655
探偵,13636
同士,13572
専門,13563
陛下,13557
黄色,13485
英語,13483
人類,13348
宗教,13322
観察,13276
衝撃,13275
絶望,13264
犠牲,13156
犠牲,13156
亭主,13127
趣味,13037
証明,12951
将来,12886
勇気,12875
逮捕,12721
夕食,12708
警戒,12704
担当,12700
武士,12579
魅力,12563
種類,12561
単純,12539
模様,12491
通路,12476
素直,12476
皇帝,12475
皇帝,12475
複雑,12452
複雑,12452
懸命,12331
貴様,12325
幽霊,12264
幽霊,12264
計算,12243
監督,12227
監督,12227
文章,12172
卒業,12073
卒業,12073
飛行機,12035
乙女,12015
紳士,11859
公爵,11722
解放,11591
化粧,11325
健康,11271
健康,11271
原稿,11205
依頼,11190
日常,11165
電気,11102
生涯,11086
食堂,10989
適当,10986
自宅,10910
掃除,10679
訓練,10666
訓練,10666
合図,10654
社員,10623
制服,10558
交渉,10557
菓子,10522
地位,10444
契約,10351
契約,10351
詩人,10337
評判,10320
評判,10320
誕生,10275
資料,10270
故郷,10246
故郷,10246
慎重,10213
試験,10195
才能,10186
常識,10130
常識,10130
自転車,10083
目撃,9986
回復,9984
対象,9943
比較,9913
綺麗,9895
基本,9888
練習,9875
信仰,9807
予感,9788
授業,9708
授業,9708
画面,9674
画面,9674
精霊,9611
精霊,9611
特殊,9485
奴隷,9446
解釈,9397
看護婦,9354
機能,9335
権利,9325
乱暴,9325
